DMModule,submodel,Tables,url,Table,Abbreviation,Description,TableModule,Activity code
Accounting,Budgets,BUD.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUD.htm,BUD,BUD,Budget table,Financials,
Accounting,Budgets,FACILITY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/FACILITY.htm,FACILITY,FCY,Sites,Supervisor,
Accounting,Budgets,COMPANY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/COMPANY.htm,COMPANY,CPY,Company,Supervisor,
Accounting,Budgets,BUDPAR.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDPAR.htm,BUDPAR,BUP,Budget setup,Financials,
Accounting,Budgets,CACCE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CACCE.htm,CACCE,CCE,Dimensions,Common Data,
Accounting,Budgets,TABCUR.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABCUR.htm,TABCUR,TCU,Currency table,Supervisor,
Accounting,Payment,GDIE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIE.htm,GDIE,DIE,Dimension types,Common Data,
Accounting,Payment,GCOA.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GCOA.htm,GCOA,COA,Chart of accounts,Common Data,
Accounting,Payment,PAYMENTA.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PAYMENTA.htm,PAYMENTA,PYA,Analytical payment lines,A/P-A/R accounting,
Accounting,Payment,GACCDUDATE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCDUDATE.htm,GACCDUDATE,DUD,Open items,Common Data,
Accounting,Payment,PINVOICED.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PINVOICED.htm,PINVOICED,PID,Purchase invoice detail,Purchasing,
Accounting,Payment,SINVOICED.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/SINVOICED.htm,SINVOICED,SID,Sales invoice detail,Sales,
Accounting,Payment,PAYMENTD.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PAYMENTD.htm,PAYMENTD,PYD,Payment lines,A/P-A/R accounting,
Accounting,Payment,CADSP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CADSP.htm,CADSP,DSP,Analytical allocations,Common Data,
Accounting,Payment,GACCDENCOD.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCDENCOD.htm,GACCDENCOD,CDA,Payment attribute,A/P-A/R accounting,
Accounting,Payment,PROROGPCE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PROROGPCE.htm,PROROGPCE,PRP,Due date extension,A/P-A/R accounting,
Accounting,Payment,PAYACCNUM.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PAYACCNUM.htm,PAYACCNUM,PAN,Accounting payment entry,A/P-A/R accounting,
Accounting,Payment,CACCE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CACCE.htm,CACCE,CCE,Dimensions,Common Data,
Accounting,Payment,TABVAT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABVAT.htm,TABVAT,TVT,Tax code table,Common Data,
Accounting,Payment,RELBANK.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/RELBANK.htm,RELBANK,RBK,Bank account statement,A/P-A/R accounting,
Accounting,Payment,POOL.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/POOL.htm,POOL,POO,Banking pool,A/P-A/R accounting,
Accounting,Payment,TABFILBAN.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABFILBAN.htm,TABFILBAN,TFB,Bank file definitions,A/P-A/R accounting,
Accounting,Payment,UNPAID.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/UNPAID.htm,UNPAID,UNP,Doubtful receipt entry,A/P-A/R accounting,
Accounting,Payment,BILSTA.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BILSTA.htm,BILSTA,BES,Statement of bill of exchange,A/P-A/R accounting,
Accounting,Payment,PROROG.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PROROG.htm,PROROG,PRO,Due date extension,A/P-A/R accounting,
Accounting,Payment,PAYMENTH.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PAYMENTH.htm,PAYMENTH,PYH,Payment header,A/P-A/R accounting,
Accounting,Payment,ATABDIV.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ATABDIV.htm,ATABDIV,ADI,Miscellaneous tables,Supervisor,
Accounting,Payment,TABCUR.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABCUR.htm,TABCUR,TCU,Currency table,Supervisor,
Accounting,Payment,BPARTNER.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BPARTNER.htm,BPARTNER,BPR,Business partner,Common Data,
Accounting,Payment,GACCOUNT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCOUNT.htm,GACCOUNT,GAC,Accounts,Common Data,
Accounting,Payment,BANK.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BANK.htm,BANK,BAN,Bank accounts,Common Data,
Accounting,Payment,TABPAYTYP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABPAYTYP.htm,TABPAYTYP,TPY,Payment transactions,Common Data,
Accounting,Payment,FACILITY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/FACILITY.htm,FACILITY,FCY,Sites,Supervisor,
Accounting,Operating Budgets,BUDAPPDET.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDAPPDET.htm,BUDAPPDET,BAD,Approval detail,Financials,GDD
Accounting,Operating Budgets,BUDREVDET.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDREVDET.htm,BUDREVDET,BVD,Review detail,Financials,GDD
Accounting,Operating Budgets,BUDREV.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDREV.htm,BUDREV,BRV,Budget review,Financials,GDD
Accounting,Operating Budgets,PRJLOT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PRJLOT.htm,PRJLOT,PJL,Lot,Financials,GDD
Accounting,Operating Budgets,PROJET.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/PROJET.htm,PROJET,PRJ,Project,Financials,GDD
Accounting,Operating Budgets,BUDTYP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDTYP.htm,BUDTYP,BUT,Budget type,Financials,GDD
Accounting,Operating Budgets,BUDAPP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDAPP.htm,BUDAPP,BOA,Budget approval,Financials,GDD
Accounting,Operating Budgets,ENVFIY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ENVFIY.htm,ENVFIY,ENF,Distribute envelope/fiscal year,Financials,GDD
Accounting,Operating Budgets,ENVELOPPE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ENVELOPPE.htm,ENVELOPPE,ENV,Envelope,Financials,GDD
Accounting,Operating Budgets,ENTITE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/ENTITE.htm,ENTITE,ENT,Entity,Financials,GDD
Accounting,Operating Budgets,CACCE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CACCE.htm,CACCE,CCE,Dimensions,Common Data,
Accounting,Operating Budgets,BUD.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUD.htm,BUD,BUD,Budget table,Financials,
Accounting,Operating Budgets,BUDPAR.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BUDPAR.htm,BUDPAR,BUP,Budget setup,Financials,
Common data,Company and Sites,COMPANY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/COMPANY.htm,COMPANY,CPY,Company,Supervisor,
Common data,Company and Sites,BID.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BID.htm,BID,BID,Bank ID statement,Supervisor,
Common data,Company and Sites,FACILITY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/FACILITY.htm,FACILITY,FCY,Sites,Supervisor,
Common data,Company and Sites,CACCE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CACCE.htm,CACCE,CCE,Dimensions,Common Data,
Common data,Company and Sites,CONTACT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CONTACT.htm,CONTACT,CNT,Contacts,Supervisor,
Common data,Company and Sites,BPADDRESS.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BPADDRESS.htm,BPADDRESS,BPA,Addresses,Supervisor,
Common data,Company and Sites,BANK.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BANK.htm,BANK,BAN,Bank accounts,Common Data,
Common data,Company and Sites,BPCARRIER.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/BPCARRIER.htm,BPCARRIER,BPT,Carriers,Common Data,
Common data,Company and Sites,TABUNAVAIL.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/TABUNAVAIL.htm,TABUNAVAIL,TUV,Unavailable periods,Common Data,
Common data,Company and Sites,FACGROUP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/FACGROUP.htm,FACGROUP,FGR,Site grouping,Supervisor,
Common data,Company and Sites,GACCCODE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCCODE.htm,GACCCODE,CAC,Accounting codes,Common Data,
