Linked object,Linked table,dataType,filler1,filler2,filler3
,,Decimal,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
REP,SALESREP,Alphanumeric,,,
REPLINDE,REPLINDEF,Alphanumeric,,,KDEAT
REVREC,REVREC,Alphanumeric,10B,,REVRC
ROU,ROUTING,Alphanumeric,20c,,
,,Short integer,4#,,
TRP,TABREOPOL,Alphanumeric,3c,,
,,Long integer,,,
RQW,WARREQUEST,Alphanumeric,20X,,
RRB,RBKRUBBEL,Alphanumeric,,,KBE
RRS,RESRES,Alphanumeric,20X,,
RSY,SENTENCES,Alphanumeric,15c,,MWM
RTZ,RITENZIONE,Alphanumeric,10X,,
,,Alphanumeric,A11B,,
,,Alphanumeric,=GFMT,,
SCO,SCOHEAD,Alphanumeric,20c,,
SCP,SCRIPT,Alphanumeric,20X,,
,,Alphanumeric,25X,,
SER,SEPRC,Alphanumeric,,,SEPP
,,Alphanumeric,20X,,
SES,SEASON,Alphanumeric,3c,,
,,Alphanumeric,10X,,
,,Alphanumeric,10X,,
SFI,SFOOTINV,Short integer,3#,,
SHFT,SFTSHIFT,Alphanumeric,,,
,,Alphanumeric,,,
SIH,SINVOICEV,Alphanumeric,20X,,
,,Alphanumeric,5c,,
PJMSNP,PJMSNPH,Alphanumeric,,,PJM
PJMSNPD,PJMSNPD,Alphanumeric,,,PJM
SOH,SORDER,Alphanumeric,20X,,
SOL,SOLUTION,Alphanumeric,20X,,
SPC,SPRICCONF,Alphanumeric,6B,,
SPMOD,SPAMODELS,Alphanumeric,,,KSP
SPP,SPPRTCONF,Alphanumeric,10c,,
SPR,SPREASON,Short integer,2#,,
,,Alphanumeric,40X,,
,,Alphanumeric,230X,,
SRE,SERREQUEST,Alphanumeric,20X,,
,,Alphanumeric,20X,,
STX,STATION,Alphanumeric,8c,,MWM
,,Alphanumeric,10c,,CFG
,,Alphanumeric,,,PJM
,,Alphanumeric,,,
TAM,TABPAM,Alphanumeric,5c,,
TBO,TABBOMALT,Short integer,2#,,
TBU,TABBUDTYP,Alphanumeric,5c,,
TCM,TABCOSTMET,Alphanumeric,3c,,
TCT,TABCTL,Alphanumeric,3c,,
TCTR,TABCONTAINER,Alphanumeric,,,
TDA,TABDEPAGIO,Alphanumeric,5c,,
TEC,TABEECNAT,Alphanumeric,5c,,DEB
TED,TABCODEDT,Alphanumeric,5c,,
,,Alphanumeric,=GFMT,,
,,Alphanumeric,5X,,
TES,TABEXPENS,Alphanumeric,,,
,,Alphanumeric,2#[__]8#,,
TFB,TABFILBAN,Alphanumeric,10c,,
TFOLEG,TABFORLEG,Alphanumeric,,,
,,Decimal,10.4#,,
,,Decimal,4.4#,,
,,Decimal,4.4#,,
TIMRPT,PJMTIMEMPRPT,Alphanumeric,,,PJM
TLO,TABLOCTYP,Alphanumeric,5c,,
TLP,TABLINCFG,Alphanumeric,5c,,
TMA,TABMAT,Short integer,4#,,
TPC,TABPLACE,Alphanumeric,,,
TPM,TABPRTMOD,Alphanumeric,5c,,
TPN,TABPNHTYP,Alphanumeric,5c,,TRSNE
TPV,TABPIVTYP,Alphanumeric,5c,,
TPY,TABPAYTYP,Alphanumeric,5c,,
,,Alphanumeric,,,
TRE,TABSRHTYP,Alphanumeric,5c,,
TRO,TABROUALT,Short integer,2#,,
,,Alphanumeric,,,
TRU,TABALLRUL,Alphanumeric,6C,,
TSA,TABSAFSTO,Short integer,3#,,
TSC,TABEECSCH,Alphanumeric,5c,,DEB
TSD,TABSDHTYP,Alphanumeric,5c,,
TSG,TABSGHTYP,Alphanumeric,5c,,TRSNE
TSO,TABSOHTYP,Alphanumeric,5c,,
TSQ,TABSQHTYP,Alphanumeric,5c,,
TST,TABSTASTO,Alphanumeric,3c,,
TSV,TABSIVTYP,Alphanumeric,5c,,
TTN,TABTNHTYP,Alphanumeric,5c,,TRSNE
,,Alphanumeric,,,
TVB,TABVACBPR,Alphanumeric,5c,,
TVI,TABVACITM,Alphanumeric,5c,,
TWD,TABWEEDIA,Alphanumeric,3c,,
,,Alphanumeric,,,
TXS,TXSA,Alphanumeric,10B,,TDB
TYC,TYPCOMBEL,Alphanumeric,,,KBE
TZI,TIMEZONEINFO,Alphanumeric,,,
UGD,USERGUIDES,Alphanumeric,8c,,MWM
UNNB,TABUNNBR,Alphanumeric,,,
,,Long integer,,,
TUN,TABUNIT,Alphanumeric,,,
TUV,TABUNAVAIL,Alphanumeric,5c,,
TVT,TABVAT,Alphanumeric,5c,,
VATGRP,VATGRP,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,12X,,KBE
,,Decimal,5.3#,,
,,Alphanumeric,,,
,,Alphanumeric,,,
TWC,TABWRKCTR,Alphanumeric,05c,,
,,Decimal,6.3#,,
WRH,WAREHOUSE,Alphanumeric,,,
,,Alphanumeric,8c,,
